"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Логин под существующим пользователем","tests","2026-08-13","broken","2026-08-13","TestUserLoginAPI","test_stellar_burgers_api","",""
"","3","Изменение данных пользователя без авторизации","tests","2026-08-13","broken","2026-08-13","TestUserDataAPI","test_stellar_burgers_api","",""
"","1","Создание заказа с авторизацией и корректными ингредиентами","tests","2026-08-13","broken","2026-08-13","TestOrderAPI","test_stellar_burgers_api","",""
"","3","Изменение любого поля пользователя с авторизацией","tests","2026-08-13","broken","2026-08-13","TestUserDataAPI","test_stellar_burgers_api","",""
"","2","Получение заказов авторизованного пользователя","tests","2026-08-13","broken","2026-08-13","TestUserOrderAPI","test_stellar_burgers_api","",""
"","2","Изменение любого поля пользователя с авторизацией","tests","2026-08-13","broken","2026-08-13","TestUserDataAPI","test_stellar_burgers_api","",""
"","2","Изменение любого поля пользователя с авторизацией","tests","2026-08-13","broken","2026-08-13","TestUserDataAPI","test_stellar_burgers_api","",""
"","3","Создание пользователя, который уже зарегистрирован","tests","2026-08-13","broken","2026-08-13","TestUserCreationAPI","test_stellar_burgers_api","",""
"","3","Логин с неверным логином и паролем","tests","2026-08-13","broken","2026-08-13","TestUserLoginAPI","test_stellar_burgers_api","",""
"","2","Создание заказа без ингредиентов","tests","2026-08-13","broken","2026-08-13","TestOrderAPI","test_stellar_burgers_api","",""
"","2","Создание заказа с неверным хешем ингредиентов","tests","2026-08-13","broken","2026-08-13","TestOrderAPI","test_stellar_burgers_api","",""
"","2","Создание заказа без авторизации","tests","2026-08-13","broken","2026-08-13","TestOrderAPI","test_stellar_burgers_api","",""
"","2","Изменение данных пользователя с авторизацией","tests","2026-08-13","broken","2026-08-13","TestUserDataAPI","test_stellar_burgers_api","",""
"","3","Создание пользователя без обязательного поля","tests","2026-08-13","broken","2026-08-13","TestUserCreationAPI","test_stellar_burgers_api","",""
"","6","Создание уникального пользователя успешно","tests","2026-08-13","broken","2026-08-13","TestUserCreationAPI","test_stellar_burgers_api","",""
"","3","Получение заказов неавторизованного пользователя","tests","2026-08-13","broken","2026-08-13","TestUserOrderAPI","test_stellar_burgers_api","",""
